BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
39 : 0 : 0
29 : 478427 : 0
71 : 478427 : 29
53 : 1188895 : 29
119 : 1188895 : 53
152 : 2227639 : 119
169 : 2323829 : 119
218 : 2323829 : 169
231 : 2391418 : 169
261 : 2391418 : 231
252 : 2788062 : 231
311 : 2788062 : 252
317 : 4254620 : 252
356 : 4254620 : 317
391 : 4411175 : 317
439 : 4411175 : 391
419 : 5357044 : 391
489 : 5357044 : 419
466 : 5464539 : 419
539 : 5464539 : 466
508 : 6668134 : 466
589 : 6668134 : 508
595 : 8223493 : 508
610 : 8223493 : 595
606 : 8340739 : 595
656 : 8340739 : 606
654 : 8499265 : 606
710 : 8499265 : 654
706 : 8536750 : 654
754 : 8536750 : 706
769 : 8751710 : 706
815 : 8751710 : 769
819 : 8994600 : 769
855 : 8994600 : 819
859 : 10052671 : 819
903 : 10052671 : 859
916 : 10142608 : 859
961 : 10142608 : 916
984 : 14892186 : 916
1040 : 14892186 : 984
1017 : 17058669 : 984
1077 : 17058669 : 1017
1083 : 19202408 : 1017
1094 : 20592673 : 1017
1112 : 20592673 : 1094
1134 : 21049168 : 1094
1185 : 21049168 : 1134
1201 : 22021482 : 1134
1212 : 22021482 : 1201
1218 : 22882990 : 1201
1257 : 22882990 : 1218
1267 : 24397780 : 1218
1322 : 24397780 : 1267
1326 : 25925665 : 1267
1345 : 26940256 : 1267
1393 : 26940256 : 1345
1381 : 27308523 : 1345
1429 : 27308523 : 1381
1437 : 27346356 : 1381
1489 : 27346356 : 1437
1488 : 30261264 : 1437
1508 : 30261264 : 1488
1546 : 31048987 : 1488
1589 : 31048987 : 1546
1592 : 33642802 : 1546
1604 : 34402328 : 1592
1590 : 36035111 : 1546
1583 : 38483011 : 1546
1623 : 38483011 : 1583
1629 : 41660586 : 1583
1618 : 45055992 : 1583
1667 : 45055992 : 1618
1658 : 46035319 : 1629
1670 : 49258635 : 1618
1673 : 56020731 : 1618
1720 : 56020731 : 1673
1721 : 56300421 : 1673
1743 : 58925632 : 1673
1795 : 58925632 : 1743
1799 : 59342770 : 1743
1794 : 67441677 : 1743
1819 : 67441677 : 1794
1821 : 71069958 : 1794
1824 : 72378616 : 1794
1833 : 73835732 : 1794
1878 : 73835732 : 1833
1883 : 76133171 : 1833
1907 : 76299882 : 1883
1857 : 76559738 : 1821
1880 : 76868355 : 1833
1882 : 76977467 : 1833
1944 : 76977467 : 1882
1940 : 78039309 : 1882
1958 : 78039309 : 1940
1999 : 82276960 : 1940
2041 : 82276960 : 1999
2018 : 84396538 : 1999
2089 : 84396538 : 2018
2093 : 99235733 : 2018
2092 : 99303393 : 2018
2059 : 102602981 : 2018
2151 : 102602981 : 2059
2153 : 106576233 : 2059
2118 : 107143869 : 2093
2166 : 108285639 : 2153
2119 : 108903605 : 2092
2154 : 111440893 : 2059
2171 : 116594328 : 2166
2185 : 116650591 : 2171
2152 : 119555273 : 2059
2191 : 121358457 : 2152
2194 : 122847995 : 2191
2186 : 132155140 : 2185
2131 : 132836271 : 2059
2233 : 132836271 : 2131
2176 : 134582658 : 2154
2235 : 135582753 : 2131
2248 : 135582753 : 2235
2197 : 142409092 : 2194
2259 : 146260745 : 2235
2303 : 146260745 : 2259
