BlockID : Time: Parent BlockID 
---------------------------------
0 : 0 : -1
21 : 921488 : 0
93 : 1105068 : 21
121 : 2080383 : 93
155 : 2227625 : 121
247 : 3261128 : 155
280 : 3353247 : 247
305 : 4631462 : 280
366 : 4920613 : 305
410 : 5301705 : 366
488 : 5538811 : 410
534 : 5781645 : 488
548 : 5782539 : 488
589 : 7941156 : 534
622 : 8366849 : 589
656 : 9045958 : 622
719 : 9430491 : 656
787 : 9551315 : 719
816 : 9756841 : 787
891 : 10503506 : 816
904 : 11222657 : 891
984 : 13745273 : 904
1030 : 14880789 : 984
1065 : 15012051 : 1030
1151 : 15532613 : 1065
1175 : 16253886 : 1151
1216 : 17015446 : 1175
1258 : 17296462 : 1216
1330 : 18712257 : 1258
1379 : 19138367 : 1330
1414 : 20779090 : 1379
1475 : 22476880 : 1414
1523 : 22587740 : 1475
1573 : 23060557 : 1523
1651 : 23082588 : 1573
1656 : 23161390 : 1651
1710 : 23704522 : 1656
1762 : 24222784 : 1710
1810 : 24414128 : 1762
1888 : 24466940 : 1810
1905 : 24558595 : 1888
1978 : 25094550 : 1905
2021 : 26241264 : 1978
2074 : 26436959 : 2021
2136 : 26755759 : 2074
2198 : 27536319 : 2136
2222 : 27780599 : 2198
2252 : 29229679 : 2222
2330 : 29395418 : 2252
2362 : 29454888 : 2330
2440 : 29664344 : 2362
2486 : 30103130 : 2440
2544 : 31170738 : 2486
2592 : 31409487 : 2544
2632 : 31475395 : 2592
2664 : 32714159 : 2632
2724 : 33286958 : 2664
2795 : 33634732 : 2724
2838 : 34867946 : 2795
2894 : 35187671 : 2838
2938 : 36326283 : 2894
3001 : 37336740 : 2938
3048 : 37808037 : 3001
3074 : 38437403 : 3048
3141 : 38514607 : 3074
3156 : 38660765 : 3141
3230 : 38862511 : 3156
3268 : 39725256 : 3230
3322 : 40119059 : 3268
3352 : 40475503 : 3322
3417 : 40692582 : 3352
3497 : 41851519 : 3417
3511 : 41946288 : 3497
3563 : 43733259 : 3511
3641 : 44318554 : 3563
3687 : 45027444 : 3641
3730 : 45063369 : 3687
3786 : 45669430 : 3730
3846 : 45817709 : 3786
3886 : 46455199 : 3846
3945 : 46471018 : 3886
3963 : 46627076 : 3945
4028 : 46740190 : 3963
4055 : 46845223 : 4028
4141 : 47829649 : 4055
4197 : 48218008 : 4141
4231 : 48670074 : 4197
4266 : 49442910 : 4231
4316 : 49731401 : 4266
4355 : 49944539 : 4316
4411 : 50672530 : 4355
4500 : 50812491 : 4411
4531 : 52492406 : 4500
4580 : 53967754 : 4531
4605 : 54959897 : 4580
4669 : 55248115 : 4605
4726 : 55593553 : 4669
4797 : 55912360 : 4726
4813 : 56276538 : 4797
4875 : 56728864 : 4813
4917 : 57023322 : 4875
4997 : 57764306 : 4917
5035 : 58544616 : 4997
5072 : 59381401 : 5035
