PeerID,Speed,CPU,BlocksOwned,BlocksMined,Ratio,MaxDepth,TransactionsGenerated
0,Fast,High,0,7,0,7,0
1,Fast,High,0,7,0,7,0
2,Fast,High,0,7,0,7,0
3,Fast,High,0,7,0,7,0
4,Slow,Low,0,7,0,7,0
5,Fast,High,0,7,0,7,0
6,Slow,Low,0,7,0,7,0
7,Slow,Low,0,7,0,7,0
8,Fast,High,0,7,0,7,0
9,Fast,Low,0,7,0,7,0
10,Slow,Low,0,7,0,7,0
11,Fast,Low,0,7,0,7,0
12,Fast,High,0,7,0,7,0
13,Fast,Low,0,7,0,7,0
14,Fast,Low,0,7,0,7,0
15,Fast,High,0,7,0,7,0
16,Slow,Low,0,7,0,7,0
17,Fast,Low,0,7,0,7,0
18,Slow,Low,0,7,0,7,0
19,Fast,Low,0,7,0,7,0
20,Slow,High,0,7,0,7,0
21,Slow,High,0,7,0,7,0
22,Fast,High,0,7,0,7,0
23,Fast,High,0,7,0,7,0
24,Fast,Low,0,7,0,7,0
25,Slow,Low,0,7,0,7,0
26,Fast,Low,0,7,0,7,0
27,Slow,Low,0,7,0,7,0
28,Fast,Low,0,7,0,7,0
29,Slow,High,0,7,0,7,0
30,Fast,High,0,7,0,7,0
31,Fast,High,0,7,0,7,0
32,Slow,High,0,7,0,7,0
33,Fast,Low,0,7,0,7,0
34,Slow,High,0,7,0,7,0
35,Fast,High,0,7,0,7,0
36,Slow,Low,0,7,0,7,0
37,Slow,Low,0,7,0,7,0
38,Fast,High,0,7,0,7,0
39,Slow,Low,0,7,0,7,0
40,Slow,High,1,7,0.142857,7,0
41,Slow,Low,0,7,0,7,0
42,Fast,High,0,7,0,7,0
43,Fast,High,0,7,0,7,0
44,Slow,High,0,7,0,7,0
45,Fast,High,0,7,0,7,0
46,Slow,Low,0,7,0,7,0
47,Slow,High,0,7,0,7,0
48,Fast,High,0,7,0,7,0
49,Fast,Low,0,7,0,7,0
50,Fast,Low,0,7,0,7,0
51,Slow,High,0,7,0,7,0
52,Slow,Low,0,7,0,7,0
53,Slow,High,0,7,0,7,0
54,Fast,High,1,7,0.142857,7,0
55,Fast,High,0,7,0,7,0
56,Fast,High,0,7,0,7,0
57,Fast,Low,0,7,0,7,0
58,Slow,Low,0,7,0,7,0
59,Slow,Low,0,7,0,7,0
60,Fast,Low,0,7,0,7,0
61,Fast,High,0,7,0,7,0
62,Slow,Low,0,7,0,7,0
63,Slow,High,1,7,0.142857,7,0
64,Slow,Low,0,7,0,7,0
65,Fast,High,0,7,0,7,0
66,Fast,High,0,7,0,7,0
67,Slow,Low,1,7,0.142857,7,0
68,Slow,High,0,7,0,7,0
69,Slow,High,0,7,0,7,0
70,Fast,High,0,7,0,7,0
71,Slow,High,0,7,0,7,0
72,Slow,High,0,7,0,7,0
73,Fast,Low,0,7,0,7,0
74,Slow,Low,0,7,0,7,0
75,Slow,Low,0,7,0,7,0
76,Fast,High,0,7,0,7,0
77,Slow,High,0,7,0,7,0
78,Slow,High,0,7,0,7,0
79,Slow,Low,0,7,0,7,0
80,Slow,High,0,7,0,7,0
81,Slow,High,1,7,0.142857,7,0
82,Slow,Low,0,7,0,7,0
83,Slow,Low,0,7,0,7,0
84,Fast,Low,0,7,0,7,0
85,Fast,High,0,7,0,7,0
86,Fast,High,0,7,0,7,0
87,Fast,Low,0,7,0,7,0
88,Slow,Low,0,7,0,7,0
89,Slow,Low,0,7,0,7,0
90,Slow,Low,0,7,0,7,0
91,Fast,Low,0,7,0,7,0
92,Fast,High,1,7,0.142857,7,0
93,Fast,Low,0,7,0,7,0
94,Slow,Low,1,7,0.142857,7,0
95,Fast,Low,0,7,0,7,0
96,Slow,Low,0,7,0,7,0
97,Slow,Low,0,7,0,7,0
98,Slow,High,0,7,0,7,0
99,Fast,High,0,7,0,7,0
